imdbvote,year,runtime,imdb_id,plot,languages,released,title,imdbrating,countries
9133,1995,123,tt0114057,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",['English'],1996-01-19,Othello,6.8,"['USA', 'UK']"
27300,1995,100,tt0114011,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,['English'],1995-10-20,Now and Then,6.8,['USA']
8758,1995,107,tt0114117,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",['English'],1995-09-27,Persuasion,7.7,"['UK', 'USA', 'France']"
5249,1995,108,tt0115012,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,['Mandarin'],1995-12-22,Shanghai Triad,7.1,"['France', 'China']"
49224,1995,99,tt0112792,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,['English'],1995-08-11,Dangerous Minds,6.6,['USA']
583844,1995,129,tt0114746,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","['English', 'French']",1996-01-05,12 Monkeys,8.0,['USA']
118019,1995,91,tt0112431,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",['English'],1995-08-04,Babe,6.8,"['Australia', 'USA']"
89621,1995,122,tt0112818,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",['English'],1996-02-02,Dead Man Walking,7.5,"['UK', 'USA']"
21116,1995,101,tt0113442,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",['English'],1995-11-17,It Takes Two,5.9,['USA']
187745,1995,97,tt0112697,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","['English', 'Spanish']",1995-07-19,Clueless,6.8,['USA']
1683,1995,106,tt0112749,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",['English'],1995-12-15,"Cry, the Beloved Country",6.8,"['South Africa', 'USA']"
13895,1995,110,tt0114279,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,['English'],1995-12-29,Richard III,7.4,"['UK', 'USA']"
20272,1995,119,tt0112819,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",['English'],1995-10-06,Dead Presidents,6.9,['USA']
8946,1995,117,tt0114272,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","['English', 'Latin']",1996-02-02,Restoration,6.6,"['USA', 'UK']"
108001,1995,101,tt0113855,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,['English'],1995-08-18,Mortal Kombat,5.8,['USA']
44343,1995,106,tt0114681,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,['English'],1995-10-06,To Die For,6.8,"['USA', 'UK', 'Canada']"
10849,1995,117,tt0113347,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,['English'],1995-10-06,How to Make an American Quilt,6.3,['USA']
1470140,1995,127,tt0114369,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",['English'],1995-09-22,Se7en,8.6,['USA']
172919,1995,81,tt0114148,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"['English', 'Algonquin']",1995-06-23,Pocahontas,6.7,['USA']
6663,1995,94,tt0114916,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",['English'],1995-11-17,When Night Is Falling,6.5,['Canada']
1002806,1995,106,tt0114814,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","['English', 'Hungarian', 'Spanish', 'French']",1995-08-16,The Usual Suspects,8.5,"['USA', 'Germany']"
38527,1995,95,tt0113819,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.","['English', 'Latin']",1995-11-10,Mighty Aphrodite,7.0,['USA']
2093,1994,116,tt0110299,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets the eye.","['Albanian', 'Italian']",1995-10-04,Lamerica,7.5,"['Italy', 'France', 'Switzerland', 'Austria']"
9427,1995,100,tt0112499,"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.",['English'],1995-09-29,The Big Green,5.6,['USA']
2823,1995,115,tt0113158,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,"['English', 'Hebrew']",1995-12-08,Georgia,6.7,"['France', 'USA']"
12255,1995,103,tt0113321,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",['English'],1995-11-03,Home for the Holidays,6.6,['USA']
34090,1994,108,tt0110877,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.","['Italian', 'Spanish']",1996-03-22,Il Postino,7.7,"['Italy', 'France', 'Belgium']"
26572,1995,96,tt0113419,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend Patrick.",['English'],1995-07-14,The Indian in the Cupboard,6.0,['USA']
13711,1996,101,tt0116260,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.","['English', 'French', 'Spanish', 'Korean']",1996-01-12,Eye for an Eye,6.2,['USA']
35877,1995,143,tt0113862,A frustrated composer finds fulfillment as a high school music teacher.,"['English', 'American Sign Language']",1996-01-19,Mr. Holland's Opus,7.3,['USA']
49126,1996,89,tt0116126,"A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).","['English', 'Spanish']",1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.6,['USA']
5430,1996,96,tt0118002,A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.,['English'],1996-01-12,Two If by Sea,5.3,['USA']
26188,1996,88,tt0115683,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",['English'],1996-01-12,Bio-Dome,4.5,['USA']
9018,1996,93,tt0116839,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...",['English'],1996-01-12,Lawnmower Man 2: Beyond Cyberspace,2.5,['USA']
4679,1995,104,tt0113149,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.","['French', 'Spanish', 'English']",1996-01-19,French Twist,6.4,['France']
101590,1995,91,tt0113118,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",['English'],1995-04-26,Friday,7.3,['USA']
290893,1996,108,tt0116367,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","['English', 'Spanish']",1996-01-19,From Dusk Till Dawn,7.2,"['USA', 'Mexico']"
12249,1995,91,tt0113010,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.","['English', 'Russian']",1995-11-03,Fair Game,4.3,['USA']
12240,1995,96,tt0113537,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",['English'],1995-10-06,Kicking and Screaming,6.8,['USA']
3610,1995,175,tt0113828,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.,"['French', 'German', 'English']",1995-11-03,Les Misérables,7.4,['France']
7913,1996,87,tt0115644,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",['English'],1996-01-26,Bed of Roses,6.1,['USA']
4612,1996,90,tt0115676,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",['English'],1996-01-26,Big Bully,4.7,['USA']
25466,1995,108,tt0114367,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience.",['English'],1996-01-26,Screamers,6.4,['Canada']
681,1995,67,tt0113973,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...","['English', 'German']",1995-11-16,Nico Icon,7.2,"['Germany', 'USA']"
12823,1995,111,tt0112744,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,['English'],1995-11-16,The Crossing Guard,6.3,['USA']
17450,1996,118,tt0116731,A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.,"['English', 'Spanish']",1996-02-02,The Juror,5.7,['USA']
6821,1995,85,tt0112445,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,['Persian'],1995-11-27,The White Balloon,7.7,['Iran']
26328,1995,115,tt0114660,Five different criminals face imminent death after botching a job quite badly.,['English'],1995-12-01,Things to Do in Denver When You're Dead,6.8,['USA']
8337,1995,102,tt0112379,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",['Dutch'],1996-02-02,Antonia's Line,7.4,"['Netherlands', 'Belgium', 'UK', 'France']"
477,1995,115,tt0114039,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,['English'],1996-01-26,Once Upon a Time... When We Were Colored,7.2,['USA']
4421,1995,116,tt0112365,In the 1800s a naturalist marries into a family of British country gentry.,['English'],1996-01-26,Angels and Insects,6.8,"['UK', 'USA']"
21359,1996,129,tt0118158,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,"['English', 'Danish', 'Spanish']",1996-02-02,White Squall,6.6,"['USA', 'UK']"
11985,1996,88,tt0116151,A young boy befriends a larcenous orangutan in a luxury hotel.,"['English', 'French']",1996-01-12,Dunston Checks In,5.4,['USA']
37184,1996,87,tt0115697,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,['English'],1996-02-02,Black Sheep,6.3,['USA']
39783,1995,90,tt0113972,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",['English'],1995-11-22,Nick of Time,6.3,['USA']
14228,1996,108,tt0117002,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",['English'],1996-02-23,Mary Reilly,5.8,"['USA', 'UK']"
22095,1995,100,tt0114825,"A ship docks in Brooklyn with all its crew dead, but someone gets off and the killing continues on land. A Caribbean vampire is searching for a specific woman, half-human half-vampire. Rita is the detective investigating the many killings.",['English'],1995-10-27,Vampire in Brooklyn,4.6,['USA']
31573,1996,112,tt0115639,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,['English'],1996-02-09,Beautiful Girls,7.1,['USA']
91670,1996,108,tt0115759,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,['English'],1996-02-09,Broken Arrow,6.1,['USA']
2386,1995,99,tt0113403,"A group of theater actors plays ""Hamlet"" in a provincial village, faced with their own temptations, disappointments, and joys.",['English'],1996-02-16,A Midwinter's Tale,7.2,['UK']
153379,1995,98,tt0113247,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,['French'],1996-02-23,La Haine,8.1,['France']
658,1995,106,tt0113283,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the ...",['English'],1996-02-09,Heidi Fleiss: Hollywood Madam,6.5,"['UK', 'Germany', 'USA', 'Canada']"
19672,1996,111,tt0115907,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",['English'],1996-02-16,City Hall,6.2,['USA']
70759,1996,91,tt0115734,Three friends plan to pull off a simple robbery and go on the run.,"['English', 'Spanish']",1996-02-21,Bottle Rocket,7.0,['USA']
4810,1996,96,tt0117102,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll and Hyde true nature.",['English'],1996-02-16,Mr. Wrong,3.9,['USA']
4975,1996,117,tt0118040,"A medical examiner, who was suspected of murdering his wife, is trying an experimental drug to retrieve his wife's and others' memory and maybe find the killer and the mass murderer in a related present case.","['English', 'Spanish']",1996-02-23,Unforgettable,6.0,['USA']
200289,1996,92,tt0116483,A rejected hockey player puts his skills to the golf course to save his grandmother's house.,['English'],1996-02-16,Happy Gilmore,7.0,['USA']
74272,1995,135,tt0112579,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,['English'],1995-06-02,The Bridges of Madison County,7.6,['USA']
1142,1994,104,tt0110251,"On the brink of her 30th birthday, Fanny feels the door to marital happiness closing up on her. She is obsessed with death, even visits evening classes on dying and so it seems fitting, ...",['German'],1995-01-12,Nobody Loves Me,7.1,['Germany']
22057,1996,99,tt0117110,The Muppets' twist on the classic tale.,['English'],1996-02-16,Muppet Treasure Island,7.0,"['USA', 'UK']"
267,1995,95,tt0112646,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's ...",['English'],1996-05-16,Catwalk,6.9,['USA']
968971,1995,178,tt0112573,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"['English', 'French', 'Latin', 'Scottish Gaelic', 'Italian']",1995-05-24,Braveheart,8.3,['USA']
736561,1976,114,tt0075314,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","['English', 'Spanish']",1976-02-09,Taxi Driver,8.2,['USA']
39524,1995,87,tt0113326,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,"['Cantonese', 'English']",1996-02-23,Rumble in the Bronx,6.8,['Hong Kong']
8302,1996,108,tt0115645,Two parents deal with the effects when their son is accused of murdering his girlfriend.,['English'],1996-02-23,Before and After,6.1,['USA']
1076,1995,117,tt0112373,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first ...","['English', 'German']",1995-06-08,Anne Frank Remembered,8.0,"['UK', 'USA', 'Netherlands']"
3458,1995,99,tt0115033,"This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes ...",['English'],1996-02-23,The Young Poisoner's Handbook,7.1,"['UK', 'Germany', 'France']"
3811,1996,92,tt0116606,"Two NYC roomies have a pact to jump off Brooklyn Bridge, if they haven't found life partners before she's 30. That's less than a month away.",['English'],1996-03-08,If Lucy Fell,4.9,['USA']
902,1995,135,tt0114536,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So...",['English'],1995-09-29,Steal Big Steal Little,4.8,['USA']
1609,1992,93,tt0106473,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.,['English'],1992-12-06,The Boys of St. Vincent,7.5,['Canada']
26670,1992,117,tt0103859,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,"['English', 'French']",1992-07-01,Boomerang,5.6,['USA']
66053,1994,102,tt0109424,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.","['Cantonese', 'English', 'Japanese', 'Hindi', 'Mandarin', 'Punjabi', 'Urdu']",1996-03-08,Chungking Express,8.1,['Hong Kong']
17866,1996,92,tt0116324,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents.",['English'],1996-04-12,Flirting with Disaster,6.7,['USA']
10821,1994,95,tt0110647,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,['English'],1996-02-02,The NeverEnding Story III,3.2,['Germany']
797,1995,95,tt0114131,A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.,['English'],1996-02-09,Pie in the Sky,5.7,['USA']
11789,1995,95,tt0113451,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves.",['English'],1995-10-13,Jade,5.3,['USA']
21409,1996,92,tt0116130,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days.",['English'],1996-03-01,Down Periscope,6.2,['USA']
315,1995,86,tt0113756,"Mockumentary look at Playgirl Magazine centerfold and 1992 Man of the Year, Dirk Shafer, who kept it a secret from the magazine that he is gay. Most of the film is a fictionalized retelling...","['English', 'Yiddish']",1996-03-15,Man of the Year,5.8,"['USA', 'UK']"
13615,1996,124,tt0118055,"An ambitious young woman, determined to build a career in television journalism, gets good advice from her first boss, and they fall in love.",['English'],1996-03-01,Up Close & Personal,6.2,['USA']
81036,1996,117,tt0115685,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,['English'],1996-03-08,The Birdcage,7.1,['USA']
7492,1995,98,tt0112585,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",['English'],1995-08-11,The Brothers McMullen,6.6,['USA']
243347,1995,119,tt0112442,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,['English'],1995-04-07,Bad Boys,6.9,['USA']
3909,1995,84,tt0112342,A young American boy visiting in China helps his zoologist father rescue a panda cub from unscrupulous poachers while his panda reserve is threatened with closure from officious bureaucrats.,['English'],1995-08-25,The Amazing Panda Adventure,5.8,['USA']
103758,1995,102,tt0112461,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,['English'],1995-04-21,The Basketball Diaries,7.3,['USA']
2628,1995,112,tt0112427,"Set right after World War II, a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth...",['English'],1995-07-21,An Awfully Big Adventure,6.0,['UK']
5709,1994,105,tt0109093,"An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star.",['English'],1995-05-19,Amateur,6.9,"['USA', 'UK', 'France']"
273542,1995,140,tt0112384,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,['English'],1995-06-30,Apollo 13,7.6,['USA']
40792,1995,139,tt0114287,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.",['English'],1995-04-14,Rob Roy,6.9,"['UK', 'USA']"
9067,1995,82,tt0112288,"A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood.",['English'],1995-10-06,The Addiction,6.5,['USA']
236910,1995,121,tt0112462,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",['English'],1995-06-16,Batman Forever,5.4,"['USA', 'UK']"
40891,1967,100,tt0061395,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,['French'],1968-04-10,Belle de Jour,7.7,"['France', 'Italy']"
4853,1995,100,tt0112495,"Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she...",['English'],1995-08-25,Beyond Rangoon,6.6,"['UK', 'USA']"
9113,1995,83,tt0112541,"Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.",['English'],1995-10-13,Blue in the Face,6.7,['USA']
16185,1995,91,tt0109370,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada.",['English'],1995-09-22,Canadian Bacon,6.0,"['USA', 'Canada']"
123202,1995,100,tt0112642,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,['English'],1995-05-26,Casper,6.1,['USA']
21054,1995,128,tt0112688,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",['English'],1995-09-13,Clockers,6.9,['USA']
42817,1995,109,tt0112715,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.","['English', 'American Sign Language']",1995-06-09,Congo,5.3,['USA']
103223,1995,116,tt0112740,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so.",['English'],1995-05-12,Crimson Tide,7.3,['USA']
18753,1994,119,tt0109508,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,['English'],1995-04-28,Crumb,8.0,['USA']
173018,1995,104,tt0112851,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,"['English', 'Spanish']",1995-08-25,Desperado,7.2,"['USA', 'Mexico']"
18030,1995,102,tt0112857,"An African-American man is hired to find a woman, and gets mixed up in a murderous political scandal.",['English'],1995-09-29,Devil in a Blue Dress,6.7,['USA']
366977,1995,128,tt0112864,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.","['English', 'German', 'Romanian']",1995-05-19,Die Hard with a Vengeance,7.6,['USA']
13961,1995,83,tt0112887,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.",['English'],1995-10-27,The Doom Generation,6.2,"['USA', 'France']"
69110,1995,134,tt0113071,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",['English'],1995-07-07,First Knight,6.0,"['USA', 'UK']"
